nk,sk,tcg,name,set,sf,ck,mp
thejollyballoonman,duskmournhouseofhorror,0.95,The Jolly Balloon Man,Duskmourn: House of Horror,a3c4e2e0-1c0e-475d-a0f4-1be4216c2bad,0.69,0.36
smugglerscopter,kaladesh,0.95,Smuggler's Copter,Kaladesh,7832abb5-5107-4603-904e-491b221bd3e3,1.99,0.72
fellwarstone,masters,0.97,Fellwar Stone,Commander Masters,fad9cac1-8b2b-42d6-9f0b-d679689ba862,1.49,0.85
thaliaguardianofthraben,darkascension,0.97,"Thalia, Guardian of Thraben",Dark Ascension,824423ff-6441-4be6-b754-810adf9ca6a2,0.79,0.57
avengersdisassembled,marvelsuperheroes,0.97,Avengers Disassembled,Marvel Super Heroes,72d3e750-870b-497d-80d7-e3df097db554,3.49,0.48
firemagic,finalfantasy,0.98,Fire Magic,FINAL FANTASY,415ff6a5-61ef-4b37-ae08-e44476300d4a,1.29,0.15
mountain,coreset2020,0.98,Mountain,Core Set 2020,399f7531-e137-463b-bec3-e86756b6ed71,0.49,0.45
laviniaazoriusrenegade,timespiralremastered,0.98,"Lavinia, Azorius Renegade",Time Spiral: Remastered,4bee8ea6-8903-4bed-977b-b6c2cd0126f9,0.69,0.52
chaoswarp,warhammer40000,0.99,Chaos Warp,"Universes Beyond: Warhammer 40,000",f2c12ae4-7050-4ec3-9d9d-85a5a1265f24,0.79,0.59
plains,therosbeyonddeath,0.99,Plains,Theros Beyond Death,40aca5ca-a37b-4919-aef6-2510b4779161,0.49,0.15
forest,therosbeyonddeath,0.99,Forest,Theros Beyond Death,c4be31c4-9cb3-4a07-865b-5621127df660,0.49,0.15
tandemlookout,avacynrestored,0.99,Tandem Lookout,Avacyn Restored,83564e67-2677-4955-a3b9-3b221dbb100b,1.49,0.52
sunderingeruption,modernhorizons3,0.99,Sundering Eruption,Modern Horizons 3,50686ac7-346c-43d1-bdaa-28d46a12ad93,1.99,0.87
leylineofthevoid,wildsofeldraineenchantingtales,1.01,Leyline of the Void,Wilds of Eldraine: Enchanting Tales,034bfd23-8f10-4d98-9500-47d392531c69,1.99,0.34
cursedtotem,modernhorizons2,1.03,Cursed Totem,Modern Horizons 2,5dde91a9-7d2d-4a7b-861a-3d1c16ec79d9,1.49,0.84
seatofthesynod,dueldeckselvesvsinventors,1.03,Seat of the Synod,Duel Decks: Elves vs. Inventors,27b10829-fd16-4bef-8aa7-d47acdb3f53f,1.79,1.02
sylvanscrying,10thedition,1.03,Sylvan Scrying,10th Edition,fafa5aac-d4b6-47c8-b148-3077e2077e53,0.79,1.1
snowcoveredswamp,modernhorizons,1.04,Snow-Covered Swamp,Modern Horizons,c835f235-4196-4281-9788-13e5d54a92d0,0.79,0.72
graymerchantofasphodel,2014,1.04,Gray Merchant of Asphodel,Commander 2014,430fcd3e-a70a-4554-9c48-1a1b11d0a95c,2.79,0.93
bloodcelebrant,legions,1.06,Blood Celebrant,Legions,805de325-6f14-4a52-bb85-f9a9545d82a4,0.99,0.64
llanowarwastes,2019,1.07,Llanowar Wastes,Commander 2019,ec5506fe-695a-4747-b377-4d806215e121,1.49,0.76
llanowarwastes,brotherswar,1.07,Llanowar Wastes,The Brothers' War,10716909-1254-4b2b-997e-23a18994a98d,1.49,0.67
naturesclaim,eternalmasters,1.07,Nature's Claim,Eternal Masters,666a8ac9-d21d-4f3e-84a4-117fbeabbe8b,1.29,0.65
island,kaldheim,1.07,Island,Kaldheim,1a25a714-c7f3-4697-8b69-8f966b4d370a,0.99,0.15
blasphemousact,legends,1.08,Blasphemous Act,Commander Legends,40e1ef14-cb26-486e-9b54-0b532f5b7435,1.99,1.05
urzascave,modernhorizons3,1.08,Urza's Cave,Modern Horizons 3,926916ed-2f22-4ba9-9427-194886ad6c1e,2.29,0.52
mountain,kaldheim,1.09,Mountain,Kaldheim,69419307-53d5-40d7-82da-cab2e7bfbda4,0.59,0.45
exoticorchard,planechase2012,1.09,Exotic Orchard,Planechase 2012,73885326-b2e4-430d-ae21-3e9d95c73ac6,1.29,1.03
shadowofthegoblin,marvelsspiderman,1.1,Shadow of the Goblin,Marvel's Spider-Man,854b6898-c480-435b-8952-a077c7977cec,1.49,0.25
snowcoveredforest,modernhorizons,1.1,Snow-Covered Forest,Modern Horizons,1c59fc48-704b-4187-b9d3-2a2cff6dd54b,1.49,0.97
plains,ikorialairofbehemoths,1.1,Plains,Ikoria: Lair of Behemoths,16ebbce9-fd10-4c14-b52d-cf82c0c1a58c,0.49,0.31
maiscornfulstriker,avatarlastairbender,1.1,"Mai, Scornful Striker",Avatar: The Last Airbender,74dd4c0e-27b8-4c47-b7a6-a281413cd6b4,1.79,0.2
seatofthesynod,2018,1.11,Seat of the Synod,Commander 2018,1fedc183-2d95-471c-ba78-2169e4df13f8,2.29,0.88
dampingsphere,dominaria,1.11,Damping Sphere,Dominaria,a5c7d16b-8f4e-42b9-be24-3cb091932d7c,0.99,0.76
seatofthesynod,mirrodin,1.12,Seat of the Synod,Mirrodin,5da5587d-6b6c-4645-8cc9-2866d1e6911b,1.99,1.21
abrade,innistraddoublefeature,1.12,Abrade,Innistrad: Double Feature,c3a0c43a-c03f-4070-aa46-f4107a1e3dd2,0.39,0.58
glenelendrasanswer,lorwyneclipsed,1.13,Glen Elendra's Answer,Lorwyn Eclipsed,fa5bfbf9-dca2-42b7-a431-f9afedb54528,0.99,0.46
ornithopterofparadise,masters,1.13,Ornithopter of Paradise,Commander Masters,18bbdc6c-b6c9-4f89-8f0a-6266e53c1fb9,1.49,0.81
lightningbolt,modernmasters2015,1.14,Lightning Bolt,Modern Masters 2015,677da834-7f4a-4f60-9151-de7ddcf29622,2.29,1.3
kavaronmemorialworld,edgeofeternities,1.16,"Kavaron, Memorial World",Edge of Eternities,60f3ca25-9dcc-4781-bf7b-ab6736d8db29,1.79,0.26
blasphemousact,2014,1.16,Blasphemous Act,Commander 2014,bd26e2f4-42d3-4d4c-912e-8c4a7388106d,2.79,1.03
fellwarstone,2015,1.17,Fellwar Stone,Commander 2015,fa14cba8-7f88-463f-8933-0c14b6f062fb,1.99,1.03
pathtoexile,starterdecks,1.18,Path to Exile,Starter Commander Decks,95761a9f-fea7-4f8f-b3c4-0b4c596c9f04,2.79,1.21
daze,secretsofstrixhavenmysticalarchive,1.19,Daze,Secrets of Strixhaven: Mystical Archive,9d9a5654-6795-4799-ae3b-5827bfdf7a97,2.29,0.87
insidiousroots,murdersatkarlovmanor,1.21,Insidious Roots,Murders at Karlov Manor,0bb91a22-2040-4a37-85f8-5f22de8c5907,2.79,0.88
naturesclaim,conspiracy,1.21,Nature's Claim,Conspiracy,51027197-55da-45a3-901b-5ccb204095e9,1.49,0.72
tandemlookout,dueldecksblessedvscursed,1.21,Tandem Lookout,Duel Decks: Blessed vs. Cursed,3547d3ce-0837-4fc2-9e19-904519287ad5,1.79,1.13
havenwoodbattleground,fallenempires,1.22,Havenwood Battleground,Fallen Empires,9028f200-80dd-4c53-877f-ea380ff417cb,1.29,0.98
talismanofprogress,masters,1.22,Talisman of Progress,Commander Masters,32c406a0-607a-49eb-b506-bee60234fe6d,2.29,0.83
naturesclaim,worldwake,1.23,Nature's Claim,Worldwake,64ae5a91-ac54-4222-832e-d7a740a3f7cb,1.29,0.6
naturesclaim,iconicmasters,1.23,Nature's Claim,Iconic Masters,d24b6640-ef2f-4c92-beb3-afdf78f9c2d5,1.29,0.65
lightningbolt,masters25,1.24,Lightning Bolt,Masters 25,e3285e6b-3e79-4d7c-bf96-d920f973b122,2.29,1.35
eternalwitness,starterdecks,1.24,Eternal Witness,Starter Commander Decks,8f455581-2c22-40fa-a9d5-8df1b873f465,1.49,1.31
ghostquarter,2015,1.25,Ghost Quarter,Commander 2015,5c7ee3eb-9e33-476c-a6ee-1fcfc18ea2db,1.79,1.43
talismanofprogress,warhammer40000,1.26,Talisman of Progress,"Universes Beyond: Warhammer 40,000",2c42da3b-8ff6-46b9-81c9-d18adf6dfd40,1.29,1.33
talismanofhierarchy,warhammer40000,1.27,Talisman of Hierarchy,"Universes Beyond: Warhammer 40,000",f1be61f4-84e6-4d7b-8755-2651edfe7c92,2.29,1.04
seatofthesynod,jumpstart2022,1.27,Seat of the Synod,Jumpstart 2022,0633d38e-de0b-4f14-abbb-ac9260887c4d,1.79,1.03
slaughterpact,modernmasters,1.28,Slaughter Pact,Modern Masters,dd740d1d-ad70-47de-aef1-aec5ab2135d2,1.99,1.35
krriksonofyawgmoth,2019,1.28,"K'rrik, Son of Yawgmoth",Commander 2019,3592fbe4-8588-486e-99ba-c327b0b6ba24,1.49,0.67
swordstoplowshares,fallout,1.28,Swords to Plowshares,Universes Beyond: Fallout,ed55827d-1d72-4884-8a4f-fe7acbedab2c,2.29,1.35
talismanofprogress,mirrodin,1.29,Talisman of Progress,Mirrodin,41ff849e-2439-4690-8aa4-769039b6da4c,0.99,0.78
mothdustchangeling,modernmasters,1.29,Mothdust Changeling,Modern Masters,18acffb1-c1e8-4729-a350-64823b2f9d29,1.49,0.51
llanowarwastes,2020,1.3,Llanowar Wastes,Commander 2020,640b3883-4051-4401-9993-03bf8f3812c2,1.49,0.68
pathtoexile,anthology,1.3,Path to Exile,Commander Anthology,163b80e5-52e9-4100-98f8-8ceea9295d49,3.99,4.94
swordstoplowshares,starterdecks,1.3,Swords to Plowshares,Starter Commander Decks,57c2632e-5181-43e4-8744-baafb8f7d213,2.49,1.29
blasphemousact,2018,1.3,Blasphemous Act,Commander 2018,a09bb94a-1e47-43e7-a7e8-627c10cf8c1f,1.99,1.25
ashiokdreamrender,warofspark,1.32,"Ashiok, Dream Render",War of the Spark,f2df3258-c053-48a8-974f-d80899b2cd93,1.29,0.61
snowcoveredmountain,coldsnap,1.32,Snow-Covered Mountain,Coldsnap,0dc9a6d1-a1ca-4b8f-894d-71c2a9933f79,1.49,0.87
pathtoexile,assassinscreed,1.33,Path to Exile,Universes Beyond: Assassin's Creed,6e4ed445-7b35-4090-9d0e-92532b07c8c7,2.49,1.18
lightningbolt,legendsbattleforbaldursgate,1.34,Lightning Bolt,Commander Legends: Battle for Baldur's Gate,ae5f9fb1-5a55-4db3-98a1-2628e3598c18,1.99,0.98
avenmindcensor,legendsbattleforbaldursgate,1.34,Aven Mindcensor,Commander Legends: Battle for Baldur's Gate,d4cf468f-4e9d-4551-a0ed-10bd6a2316ad,0.79,0.77
eternalwitness,,1.35,Eternal Witness,Commander,101cccfb-17c3-4b11-8a3e-c382ec7143c3,2.99,2.34
pathtoexile,doublemasters,1.35,Path to Exile,Double Masters,e9d36855-c38a-4bba-a642-cff3f81e057e,2.49,1.28
avenmindcensor,amonkhet,1.36,Aven Mindcensor,Amonkhet,403a50cc-fa16-42a4-b9f2-d8327e5d1bb6,0.99,0.46
pathtoexile,modernmasters,1.37,Path to Exile,Modern Masters,bde60409-6b44-43ce-9441-af6020fe6355,2.49,1.56
pathtoexile,modernmasters2017,1.37,Path to Exile,Modern Masters 2017,061df0a2-1967-4ddd-84e3-3ecf3af98f6b,2.79,1.43
brainstorm,2018,1.37,Brainstorm,Commander 2018,821f1c26-6253-4ecc-a243-a5662c637a4a,2.49,1.92
sylvanscrying,timespiralremastered,1.37,Sylvan Scrying,Time Spiral: Remastered,1f882c71-dd90-4eac-9756-0bf487cba625,1.99,1.3
curiosity,jumpstart,1.38,Curiosity,Jumpstart,c5a0be10-c20f-4ac0-89a5-1770ecf48aad,1.79,0.6
centaurgarden,odyssey,1.38,Centaur Garden,Odyssey,ca041d5e-c65f-4e7e-ae4f-9c748a069aa3,1.49,1.62
pathtoexile,archenemy,1.39,Path to Exile,Archenemy,a9851a6e-a8be-4c1f-9e44-4bdf06d9d010,3.99,5.72
pathtoexile,jumpstart,1.39,Path to Exile,Jumpstart,59d40386-6ea6-4b77-8c61-2a9a16a88a01,2.49,1.4
solring,anthology,1.39,Sol Ring,Commander Anthology,f48f7190-9ee3-477f-8b25-91e8c2916624,2.99,1.94
ignoblehierarch,modernhorizons2,1.4,Ignoble Hierarch,Modern Horizons 2,aba51852-af8f-49d8-8fb6-22d52a1742b8,2.29,0.9
disruptorflute,modernhorizons3,1.4,Disruptor Flute,Modern Horizons 3,5cad8671-4761-4014-a8a3-af45627e6e79,2.99,0.88
leylineofabundance,coreset2020,1.41,Leyline of Abundance,Core Set 2020,c68e8342-78d2-4826-a287-64c371b97d19,1.49,0.94
blasphemousact,masters,1.41,Blasphemous Act,Commander Masters,cd15a627-f7a6-4d66-abb5-5aaa167b41a9,1.99,1.12
lightningbolt,archenemynicolbolas,1.42,Lightning Bolt,Archenemy: Nicol Bolas,ccee0b4c-0cb0-4c0f-8ddc-bc74b8b97273,2.29,1.44
burntoffering,iceage,1.42,Burnt Offering,Ice Age,1dae52a2-3af7-4b97-9d2e-2448b7c413fb,1.29,1.37
solring,2017,1.42,Sol Ring,Commander 2017,c6399a22-cebf-4c1d-a23e-4c68f784ac1b,2.49,1.63
brainstorm,2015,1.42,Brainstorm,Commander 2015,91b564f2-e27d-48f3-a7a8-5b0afd801634,2.99,1.97
expeditionmap,zendikar,1.42,Expedition Map,Zendikar,c55bee97-593f-441f-b96c-a998d5212a55,3.99,1.44
elvishmystic,masters,1.43,Elvish Mystic,Commander Masters,75918859-c93f-41b4-9ad0-a4a96c389f0d,0.99,0.41
fellwarstone,2016,1.43,Fellwar Stone,Commander 2016,d140a606-e9d0-4fda-af38-1fca5d5c8c17,1.79,0.77
heartlesssummoning,innistrad,1.43,Heartless Summoning,Innistrad,14f8f638-b7fc-4e38-8623-ce7d2ebc82e6,2.79,1.63
cullingritual,strixhavenschoolofmages,1.43,Culling Ritual,Strixhaven: School of Mages,8f6f91d3-cc07-4a42-99a0-5fb83b29cc25,0.79,0.52
peterparkerscamera,marvelsspiderman,1.44,Peter Parker's Camera,Marvel's Spider-Man,47875dff-c046-4cb0-b1e3-f926cbe25b59,1.99,1.04
brainstorm,avatarlastairbendereternallegal,1.44,Brainstorm,Avatar: The Last Airbender: Eternal-Legal,b5545882-6963-4729-b2c6-fb4bdc75ffcc,2.79,1.41
persist,modernhorizons2,1.44,Persist,Modern Horizons 2,90f390c3-af1c-424f-9721-e26e9321e5a3,1.79,0.78
devoteddruid,shadowmoor,1.44,Devoted Druid,Shadowmoor,820e2f07-f637-4144-b45a-0e1430dcf55e,1.49,1.04
cullingritual,secretsofstrixhavenmysticalarchive,1.45,Culling Ritual,Secrets of Strixhaven: Mystical Archive,2bcd7858-7ae6-4419-bc58-a5c133c97577,1.29,0.78
botanicalsanctum,kaladesh,1.45,Botanical Sanctum,Kaladesh,8744471b-a528-47d9-84d0-4526273f55e9,2.49,1.13
sootimp,dueldecksanthology,1.45,Soot Imp,Duel Decks: Anthology,7df777c3-281b-4a2d-b852-4e2663672c06,1.49,1.11
pathtoexile,doctorwho,1.46,Path to Exile,Universes Beyond: Doctor Who,d0b5c4d1-4271-4e89-9947-95ca9ff1d63d,2.49,1.28
buriedruin,doublemasters,1.46,Buried Ruin,Double Masters,da65afdc-a994-44cb-83f9-6e7f0f3ab2f1,1.29,0.52
manifoldkey,legendsbattleforbaldursgate,1.46,Manifold Key,Commander Legends: Battle for Baldur's Gate,0f5a15cd-a359-48c9-9280-ce139f1fb061,2.29,1.4
surgicalextraction,outlawsofthunderjunctionbreakingnews,1.47,Surgical Extraction,Outlaws of Thunder Junction: Breaking News,11cc603a-5d60-4959-a03f-e3dfbee4606b,3.49,0.78
waterloggedgrove,modernhorizons,1.47,Waterlogged Grove,Modern Horizons,0ab6bfbd-d2e1-4c4c-9f91-6f69c5b8e3bb,1.79,1.55
pathtoexile,doublemasters2022,1.48,Path to Exile,Double Masters 2022,90460227-6f34-4403-b2ef-d79f95f44790,2.79,1.3
graymerchantofasphodel,starterdecks,1.49,Gray Merchant of Asphodel,Starter Commander Decks,013ff2e6-07a6-48ec-a0f4-e933f748ad72,2.49,1.0
mountain,rivalsofixalan,1.5,Mountain,Rivals of Ixalan,5fd9acc5-0088-4621-8f48-e997da5f27c5,0.59,0.8
eternalwitness,2015,1.5,Eternal Witness,Commander 2015,5f3ac529-2207-4f42-ae33-467ff5f0c496,2.29,1.63
skullsnatcher,planechaseanthology,1.5,Skullsnatcher,Planechase Anthology,07a48566-47cd-4214-879d-13bc76d2c1d2,0.59,1.56
sanctumprelate,conspiracytakecrown,1.5,Sanctum Prelate,Conspiracy: Take the Crown,1d95a7dd-2803-4164-8979-d7e8e8085ca2,1.49,1.56
seatofthesynod,planechase,1.5,Seat of the Synod,Planechase,12ad9074-3f5b-412c-b55d-4b0eedaf32f2,1.99,0.91
saheelirai,kaladesh,1.51,Saheeli Rai,Kaladesh,94b38464-39cd-4ee6-b9bf-a0bc1e128d9a,2.29,1.36
treasurevault,fallout,1.51,Treasure Vault,Universes Beyond: Fallout,3b8a9a88-d4b5-4c2a-86fa-22475ce919ca,2.49,1.25
blasphemousact,2021,1.51,Blasphemous Act,Commander 2021,827bc177-e0d4-4607-97f6-18bb40d16ec8,1.99,1.03
swordstoplowshares,2016,1.51,Swords to Plowshares,Commander 2016,0e8e8743-de34-4d1c-b2ac-b8c334a34362,3.49,1.8
expeditionmap,modernmasters2015,1.51,Expedition Map,Modern Masters 2015,c708dbd5-1d7b-4ed3-b5a7-93a02d8355ee,3.99,2.26
fyndhornelves,legends,1.52,Fyndhorn Elves,Commander Legends,450744cf-7eba-491b-97b0-ca80c6368bbb,3.99,2.0
pithingneedle,10thedition,1.52,Pithing Needle,10th Edition,79d8adbf-37b8-4d69-b25a-57ebd777b53d,1.29,2.24
blasphemousact,innistrad,1.52,Blasphemous Act,Innistrad,509ce648-fb76-486d-8b39-183e368b7cb7,3.49,1.01
botanicalsanctum,outlawsofthunderjunction,1.52,Botanical Sanctum,Outlaws of Thunder Junction,cc18d5f4-a56a-4f7d-9f56-ccc92cbfb7f7,2.29,0.95
chaoswarp,,1.53,Chaos Warp,Commander,042431bc-0b21-4920-802f-6dd02e4c8721,1.49,1.94
slaughterpact,timespiralremastered,1.53,Slaughter Pact,Time Spiral: Remastered,81e00341-030f-433e-b22b-aca42e0a88d2,1.79,1.35
mountain,therosbeyonddeath,1.53,Mountain,Theros Beyond Death,dc3f4154-9347-4ceb-8744-9f1ace90d33f,0.49,0.26
swordstoplowshares,dueldeckselspethvstezzeret,1.54,Swords to Plowshares,Duel Decks: Elspeth vs. Tezzeret,31b1ca46-d2fb-4772-8975-64836ce72f0a,2.29,2.34
solring,2021,1.55,Sol Ring,Commander 2021,4cbc6901-6a4a-4d0a-83ea-7eefa3b35021,2.49,1.51
swordstoplowshares,dominariaremastered,1.55,Swords to Plowshares,Dominaria Remastered,7d839f21-68c7-47db-8407-ff3e2c3e13b4,2.49,1.38
sootimp,dueldecksdivinevsdemonic,1.55,Soot Imp,Duel Decks: Divine vs. Demonic,a06f73a0-e08f-48e6-9234-28d89bd53273,0.59,1.59
fellwarstone,legendsbattleforbaldursgate,1.55,Fellwar Stone,Commander Legends: Battle for Baldur's Gate,4bca6877-4e1d-4ecb-8812-d75d3470ffee,1.79,1.07
knightofthereliquary,iconicmasters,1.55,Knight of the Reliquary,Iconic Masters,205df311-a72d-40f1-b2ea-9b30274bc9bd,2.29,1.43
talismanofdominance,starterdecks,1.56,Talisman of Dominance,Starter Commander Decks,0a004432-2d0d-47df-b321-ce38d9aa1709,2.49,1.53
leylineofabundance,wildsofeldraineenchantingtales,1.56,Leyline of Abundance,Wilds of Eldraine: Enchanting Tales,607157a4-4fe8-46b9-86e1-0a30f040116b,1.79,1.04
dragonsragechanneler,modernhorizons2,1.56,Dragon's Rage Channeler,Modern Horizons 2,4ced112a-e775-4f97-97b3-74877e9dce12,1.79,1.3
swamp,kaldheim,1.56,Swamp,Kaldheim,9f9e61c0-b185-4704-913f-9284ed0ce250,0.99,0.55
sculptingsteel,10thedition,1.56,Sculpting Steel,10th Edition,41368983-14f8-4efa-bb60-b0a7ceb3d021,3.99,3.54
solring,2020,1.57,Sol Ring,Commander 2020,286bea73-8ad8-4423-8a7c-8497420fdb54,2.49,1.55
swordstoplowshares,masters25,1.57,Swords to Plowshares,Masters 25,5220accc-2095-43d9-9114-7599c1cb8e41,2.49,1.56
wishclawtalisman,foundations,1.57,Wishclaw Talisman,Foundations,69d0f5bd-ccea-49b2-bd79-ad5e4d850cf5,3.99,2.04
flareofduplication,modernhorizons3,1.57,Flare of Duplication,Modern Horizons 3,497a10c6-131b-464e-95e4-e47708a24d48,2.29,0.72
pinnaclemonk,modernhorizons3,1.57,Pinnacle Monk,Modern Horizons 3,24d4f26e-7f96-4b38-867e-4fac819b2679,3.49,1.29
swordstoplowshares,conspiracy,1.57,Swords to Plowshares,Conspiracy,be0bda98-e3f7-4a9e-b05d-5f8529e762ab,2.99,1.56
solring,2016,1.59,Sol Ring,Commander 2016,0f003fde-be17-4159-a361-711ed0bee911,2.49,1.52
abruptdecay,outlawsofthunderjunctionbreakingnews,1.59,Abrupt Decay,Outlaws of Thunder Junction: Breaking News,84f71a16-915d-4b8e-8c39-cc46bcaa9de9,2.49,1.04
solring,legends,1.6,Sol Ring,Commander Legends,58b26011-e103-45c4-a253-900f4e6b2eeb,2.49,1.55
gravecrawler,innistradremastered,1.6,Gravecrawler,Innistrad Remastered,662e18ab-d3cf-4f91-8ecb-c559c5218061,2.79,0.92
incubationdruid,2021,1.6,Incubation Druid,Commander 2021,bd3071c4-6269-4c6b-9324-3d2284ec616d,1.99,2.07
pathtoexile,signaturespellbookgideon,1.6,Path to Exile,Signature Spellbook: Gideon,206fd18a-f263-42cd-a77a-e40ae31a468a,2.49,1.65
pathtoexile,masters,1.6,Path to Exile,Commander Masters,4970389b-08f4-4a15-a128-954b072a8137,2.79,1.3
eternalwitness,doublemasters2022,1.61,Eternal Witness,Double Masters 2022,76d7fa2c-4dbc-4e9e-9448-5bf8bbee95d6,1.79,1.55
island,therosbeyonddeath,1.61,Island,Theros Beyond Death,92daaa39-cd2f-4c03-8f41-92d99d0a3366,0.49,0.15
blasphemousact,doctorwho,1.61,Blasphemous Act,Universes Beyond: Doctor Who,34e5d93b-2f1f-43ed-b8ff-ee00d98eb46c,1.99,0.78
sulfuroussprings,dominariaunited,1.62,Sulfurous Springs,Dominaria United,dfd5450a-6490-417f-9aea-b6fca6f380d7,2.29,1.38
heartlesssummoning,innistradremastered,1.62,Heartless Summoning,Innistrad Remastered,c50fdb09-e06c-463c-87dd-3c46f4db889a,1.99,0.92
chainerdementiamaster,torment,1.62,"Chainer, Dementia Master",Torment,40342b11-1005-4ccc-bef4-9ea4c640b048,1.49,1.35
biomancersfamiliar,ravnicaallegiance,1.63,Biomancer's Familiar,Ravnica Allegiance,d38c9891-36d1-4565-9c4a-1cd9dbf8c048,2.99,1.23
seatofthesynod,dueldeckselspethvstezzeret,1.65,Seat of the Synod,Duel Decks: Elspeth vs. Tezzeret,4d252d63-c1e8-4749-9264-47459c83ff2a,2.29,1.03
swordstoplowshares,legends,1.65,Swords to Plowshares,Commander Legends,be2b4177-e47c-4dde-9ead-31b7602065ec,2.79,1.54
carpetofflowers,doctorwho,1.65,Carpet of Flowers,Universes Beyond: Doctor Who,fd374915-323c-4d98-9b59-94d405c1dde8,3.49,1.54
incubationdruid,ravnicaallegiance,1.66,Incubation Druid,Ravnica Allegiance,075bbe5d-d0f3-4be3-a3a6-072d5d3d614c,1.99,1.17
solring,2013,1.66,Sol Ring,Commander 2013,1b59533a-3e38-495d-873e-2f89fbd08494,2.99,1.5
theunagiofkyoshiisland,avatarlastairbender,1.66,The Unagi of Kyoshi Island,Avatar: The Last Airbender,0ecd8b38-9ee5-41a5-9b93-21c33fc1a6ff,2.49,0.72
snowcoveredforest,coldsnap,1.66,Snow-Covered Forest,Coldsnap,838c915d-8153-43c2-b513-dfbe4e9388a5,2.29,1.03
slaughterpact,futuresight,1.66,Slaughter Pact,Future Sight,42696fdb-de1f-44ae-bef3-b6af068958d0,2.29,2.08
spidersense,marvelsspiderman,1.67,Spider-Sense,Marvel's Spider-Man,4499a25b-f4a5-4f2c-9ebd-bc68c7840b39,2.79,1.17
solring,2015,1.68,Sol Ring,Commander 2015,3459b229-7c46-4f70-87d4-bb31c2c17dd9,2.99,1.45
pathtoexile,fallout,1.68,Path to Exile,Universes Beyond: Fallout,437e42e1-a8b5-49db-885b-e7e1a06db59d,2.79,1.37
peregrinedrake,urzassaga,1.69,Peregrine Drake,Urza's Saga,4951863f-1c16-4d09-ba9a-f57dc3d81a20,1.79,0.71
krarkthethumbless,legends,1.7,"Krark, the Thumbless",Commander Legends,06a981cd-1951-438e-95c9-68294795638e,1.99,1.04
solring,doctorwho,1.7,Sol Ring,Universes Beyond: Doctor Who,0f44a54b-512e-45ef-80ee-7982d2eaf762,2.49,1.5
blasphemousact,legendsbattleforbaldursgate,1.7,Blasphemous Act,Commander Legends: Battle for Baldur's Gate,ba975f60-ca29-4fc8-b2f0-416be395f200,1.99,1.52
solring,legendsbattleforbaldursgate,1.7,Sol Ring,Commander Legends: Battle for Baldur's Gate,199cde21-5bc3-49cd-acd4-bae3af6e5881,2.49,1.6
fabledpassage,throneofeldraine,1.71,Fabled Passage,Throne of Eldraine,b841bfa8-7c17-4df2-8466-780ab9a4a53a,2.49,1.16
ricochettrap,worldwake,1.71,Ricochet Trap,Worldwake,5d782375-9192-4ed0-bd79-f3404e5a1b01,0.69,0.59
swordstoplowshares,2017,1.71,Swords to Plowshares,Commander 2017,d8d4eaeb-6546-44d8-a96f-7270e23014d1,2.99,1.82
eternalwitness,ultimatemasters,1.72,Eternal Witness,Ultimate Masters,d4448f49-ebe8-43f1-958f-308c4c20a01f,1.79,1.26
sootimp,eventide,1.72,Soot Imp,Eventide,85f50d1d-5694-4701-9755-a9d1e6dfae29,0.69,1.06
snowcoveredswamp,coldsnap,1.73,Snow-Covered Swamp,Coldsnap,c4dacaf1-09b8-42bb-8064-990190fdaf81,1.29,0.96
phyrexianwalker,visions,1.73,Phyrexian Walker,Visions,9f8a3979-2947-4692-8b2f-d4c07c534777,2.79,1.82
sculptingsteel,mirrodin,1.74,Sculpting Steel,Mirrodin,3aac5f6f-97c1-4546-94ed-016292e98c9d,3.99,2.11
manifoldkey,coreset2020,1.75,Manifold Key,Core Set 2020,715e637a-dfd8-45a0-b1ea-53e4abd29307,2.49,1.17
solring,masters,1.75,Sol Ring,Commander Masters,46ca0b66-a000-4483-b916-f5b89e710244,2.49,1.45
copyenchantment,wildsofeldraineenchantingtales,1.76,Copy Enchantment,Wilds of Eldraine: Enchanting Tales,36924d70-5ede-4eed-a7db-7bc74d3eede9,2.49,1.04
fabledpassage,bloomburrow,1.76,Fabled Passage,Bloomburrow,8809830f-d8e1-4603-9652-0ad8b00234e9,2.99,1.13
tinderwall,iceage,1.76,Tinder Wall,Ice Age,2a7c6489-21e9-4b86-a54a-b1e2f1fce318,0.99,0.91
abruptdecay,guildsofravnicaguildkits,1.77,Abrupt Decay,Guilds of Ravnica: Guild Kits,02517f12-cd8a-4d62-89cb-523b9b9295d5,2.99,1.83
livelydirge,outlawsofthunderjunction,1.77,Lively Dirge,Outlaws of Thunder Junction,0c35a0d3-12f7-46f3-a6b3-02a490d45ca0,2.99,1.76
undergroundriver,2016,1.77,Underground River,Commander 2016,351bc970-edd0-49b6-bd5d-3109b96f51d6,4.49,2.56
changelingoutcast,modernhorizons,1.77,Changeling Outcast,Modern Horizons,08151d00-513a-4957-aa16-01c0f0245112,1.49,1.54
adaptiveautomaton,doublemasters,1.78,Adaptive Automaton,Double Masters,ba16bfb3-dbd3-4b3a-b155-08b613268d57,2.49,0.97
swordstoplowshares,eternalmasters,1.78,Swords to Plowshares,Eternal Masters,b6bafa7b-62a4-477c-b2f5-6b9d26c6cbf4,2.99,1.8
