nk,sk,tcg,name,set,sf,ck,mp
wildcantor,ravnicaremastered,0.24,Wild Cantor,Ravnica Remastered,e6b56946-a368-4cd7-9d35-be14afca935b,0.35,0.15
genepollinator,edgeofeternities,0.24,Gene Pollinator,Edge of Eternities,ce7a8eec-a029-4ee1-b2d6-405d903d4640,0.35,0.15
gingerbrute,throneofeldraine,0.24,Gingerbrute,Throne of Eldraine,f55fe038-c903-4d92-b689-72dd6d041a91,0.69,0.2
exoticorchard,conspiracytakecrown,0.24,Exotic Orchard,Conspiracy: Take the Crown,f9083583-6fa9-4b8a-86bb-59e51ad06b33,0.69,0.37
wallofroots,iconicmasters,0.24,Wall of Roots,Iconic Masters,b65cb901-bfb0-454a-97ef-138021e524ff,0.59,0.19
exoticorchard,2016,0.24,Exotic Orchard,Commander 2016,a95134ee-68d3-44d8-9098-403f100dc73b,0.59,0.18
abrade,hourofdevastation,0.25,Abrade,Hour of Devastation,84319dfb-eaf7-4b98-8c4f-30f5e779591b,0.39,0.15
twinshotsniper,kamigawaneondynasty,0.25,Twinshot Sniper,Kamigawa: Neon Dynasty,08a86009-4637-4b6c-9d36-367151583668,0.35,0.15
peregrinedrake,dominariaremastered,0.25,Peregrine Drake,Dominaria Remastered,611c8fa2-b53f-483b-9efa-759ac59dc30f,0.79,0.15
spireofindustry,aetherrevolt,0.25,Spire of Industry,Aether Revolt,8331724d-6fab-454a-b06c-b06e499fa552,0.79,0.26
driftofphantasms,ravnicaremastered,0.25,Drift of Phantasms,Ravnica Remastered,d722c22d-3cab-48b5-96cd-0874060ac9a4,0.79,0.26
stalactitedagger,lorwyneclipsed,0.26,Stalactite Dagger,Lorwyn Eclipsed,6954df09-95f3-46cf-9ba8-2a1aea653d8f,0.35,0.15
axgardcavalry,foundations,0.26,Axgard Cavalry,Foundations,fe3cc41a-adae-4c9b-b4d3-03f3ca862fed,0.35,0.15
wildslash,fatereforged,0.26,Wild Slash,Fate Reforged,6975490f-7679-48b3-ba34-04dec97a29c2,0.35,0.15
reapandsow,darksteel,0.26,Reap and Sow,Darksteel,ff6c4ae7-8509-47a2-bc28-d131b1e6676c,0.35,0.26
cloudoffaeries,dominariaremastered,0.26,Cloud of Faeries,Dominaria Remastered,ed95f539-1d8b-408b-9af2-8c6f93fb98c8,0.59,0.15
quicksilverbrashblur,marvelsuperheroes,0.26,"Quicksilver, Brash Blur",Marvel Super Heroes,2d5819ca-165d-4f4c-9500-3ac206994880,0.49,0.15
exoticorchard,2019,0.26,Exotic Orchard,Commander 2019,23de2dc2-348f-4eeb-ae0c-dda422d654b0,0.59,0.19
commandtower,starterdecks,0.27,Command Tower,Starter Commander Decks,cae0c9e0-3be9-4151-9d59-658a032c30e9,0.79,0.26
abrade,secretsofstrixhavenmysticalarchive,0.27,Abrade,Secrets of Strixhaven: Mystical Archive,c5bb5307-e874-42c4-b85d-06b9f6c474c8,0.39,0.15
barbarianring,modernhorizons3,0.27,Barbarian Ring,Modern Horizons 3,c184406c-b22c-4b9b-9d3a-3e7b17efd8a0,0.49,0.15
