Price,CardKingdom_pct,ManaPool_pct,Volume
0.39,25.6,-61.5,99369
0.4,22.5,-62.5,102235
0.4,-12.5,-62.5,105127
0.4,97.5,-2.5,76002
0.4,97.5,-62.5,103313
0.4,97.5,-42.5,102995
0.4,147.5,-12.5,103444
0.4,72.5,-62.5,89063
0.4,22.5,-62.5,106573
0.41,141.5,-9.8,106099
0.42,135.7,-14.3,99532
0.42,64.3,-64.3,103679
0.42,88.1,-54.8,101956
0.42,-16.7,-64.3,91696
0.42,88.1,-52.4,79789
0.42,88.1,-21.4,105740
0.42,16.7,-64.3,103827
0.42,207.1,-14.3,103232
0.42,88.1,-64.3,105902
0.43,14.0,-65.1,102081
0.43,14.0,-16.3,22913
0.43,130.2,-65.1,105377
0.43,-18.6,-65.1,95649
0.43,130.2,-7.0,106027
0.44,-11.4,-65.9,104101
0.44,34.1,-65.9,103336
0.44,125.0,2.3,71170
0.44,34.1,-65.9,90101
0.45,8.9,-66.7,105790
0.45,120.0,-66.7,106184
0.45,120.0,-44.4,103350
0.45,8.9,-66.7,106251
0.47,174.5,-23.4,103944
0.47,4.3,-23.4,99086
0.47,4.3,-68.1,97722
0.48,106.2,-68.7,105973
0.48,168.8,-27.1,104684
0.49,-28.6,-63.3,30506
0.49,20.4,-69.4,105969
0.49,20.4,-67.3,92101
0.49,20.4,-16.3,104754
0.49,40.8,-6.1,99429
0.49,204.1,-4.1,105978
0.49,163.3,-26.5,104320
0.5,198.0,-28.0,106289
0.5,258.0,-70.0,106518
0.5,18.0,-48.0,96181
0.51,152.9,-51.0,104528
0.51,94.1,-68.6,103687
0.51,54.9,-70.6,105357
0.51,192.2,60.8,98360
0.51,-3.9,-70.6,106601
0.52,13.5,-57.7,69760
0.52,51.9,-50.0,104905
0.53,86.8,-62.3,105278
0.53,49.1,-26.4,104089
0.53,49.1,-5.7,76195
0.53,-7.5,-71.7,103492
0.55,25.5,-27.3,104850
0.56,-12.5,-73.2,106609
0.57,73.7,-68.4,103737
0.57,73.7,-12.3,104850
0.58,36.2,-48.3,72418
0.58,-15.5,-31.0,106216
0.58,19.0,-72.4,101565
0.59,-16.9,-74.6,106599
0.59,118.6,-30.5,94317
0.62,108.1,-1.6,105385
0.62,108.1,-51.6,94571
0.62,108.1,-3.2,97946
0.62,11.3,-51.6,100626
0.63,57.1,-76.2,83212
0.64,7.8,-53.1,98433
0.64,54.7,-76.6,104220
0.65,52.3,-76.9,105352
0.66,171.2,-77.3,103759
0.66,50.0,-69.7,106153
0.67,92.5,-77.6,106513
0.68,163.2,-45.6,106384
0.68,89.7,-47.1,69470
0.69,231.9,-24.6,106311
0.69,159.4,-44.9,76574
0.72,-18.1,-79.2,99014
0.74,33.8,-35.1,103558
0.75,138.7,-25.3,68294
0.75,72.0,-25.3,106643
0.75,32.0,-14.7,102342
0.76,-35.5,-80.3,106618
0.78,65.4,-23.1,105702
0.78,-11.5,-61.5,94014
0.78,91.0,-59.0,104929
0.79,126.6,-49.4,106398
0.79,151.9,-21.5,102167
0.82,142.7,-36.6,106448
0.83,19.3,-81.9,104727
0.83,-4.8,-81.9,105112
0.85,-42.4,-63.5,106615
0.85,228.2,124.7,105199
0.87,48.3,-40.2,101541
0.87,186.2,-1.1,104225
0.88,46.6,-83.0,105403
0.89,-44.9,-83.1,88097
0.9,10.0,-14.4,104305
0.91,41.8,-83.5,104939
0.91,41.8,-5.5,102825
0.91,8.8,-16.5,105488
0.91,8.8,-65.9,93067
0.92,40.2,-66.3,103695
0.92,40.2,-59.8,31636
0.94,-16.0,-53.2,89478
0.94,58.5,-44.7,106597
0.95,-27.4,-62.1,100468
0.95,88.4,-70.5,102911
0.97,259.8,-50.5,106539
0.98,31.6,-84.7,106151
0.98,52.0,-83.7,93912
0.99,50.5,-7.1,104269
0.99,101.0,-27.3,103656
1.0,29.0,-69.0,103546
1.0,-1.0,-62.0,102624
1.01,47.5,-9.9,100720
1.03,44.7,-18.4,101497
1.03,141.7,10.7,104567
1.06,-6.6,-39.6,100830
1.07,132.7,-55.1,105249
1.08,112.0,-51.9,106473
1.09,36.7,-72.5,104758
1.1,35.5,-77.3,103613
1.1,62.7,-81.8,104994
1.13,-56.6,-86.7,106213
1.13,58.4,-19.5,104776
1.13,-12.4,-82.3,94699
1.15,99.1,-87.0,106628
1.16,54.3,-77.6,103089
1.16,97.4,11.2,104734
1.17,10.3,-65.0,105688
1.19,134.5,-12.6,106348
1.19,50.4,-75.6,104867
1.21,130.6,-40.5,105558
1.22,-18.9,-87.7,102889
1.23,4.9,-69.9,100085
1.23,4.9,-53.7,99346
1.26,57.9,-34.1,99471
1.27,96.1,-18.9,84272
1.29,15.5,-79.8,73430
1.3,53.1,-80.8,105142
1.31,74.8,-50.4,105800
1.31,74.8,3.1,106288
1.32,-2.3,-53.8,103774
1.34,-48.5,-65.7,81590
1.36,193.4,-41.9,106293
1.38,8.0,-56.5,97703
1.38,8.0,17.4,83910
1.38,80.4,-31.9,106614
1.4,113.6,-37.1,105862
1.41,62.4,-52.5,80984
1.41,41.1,-55.3,100805
1.41,5.7,-33.3,96258
1.42,-9.2,-3.5,104583
1.44,38.2,-42.4,105437
1.44,38.2,-27.8,104668
1.44,72.9,-16.7,102089
1.45,92.4,-21.4,105768
1.45,-59.3,-26.9,30506
1.47,21.8,-55.8,92458
1.47,-46.3,-85.0,105581
1.49,33.6,-69.1,106381
1.49,20.1,-47.7,105723
1.5,-0.7,4.0,66317
1.5,-67.3,-90.0,33843
1.51,51.7,-10.6,101752
1.51,31.8,-9.9,89611
1.52,50.7,-37.5,101913
1.52,162.5,31.6,106020
1.53,17.0,-15.0,89400
1.54,16.2,-72.1,103056
1.55,15.5,-9.7,74338
1.55,47.7,-33.5,105617
1.55,157.4,22.6,103187
1.56,14.7,-90.4,106385
1.56,14.7,-60.9,105574
1.57,122.3,29.9,105058
1.57,45.9,-54.1,106161
1.57,-17.8,-62.4,106447
1.59,44.0,-47.8,103847
1.6,118.1,-6.9,96375
1.62,22.8,-43.2,94993
1.63,83.4,-24.5,103425
1.64,173.8,-0.6,106146
1.64,-51.8,-61.0,98334
1.65,-9.7,-84.2,103935
1.65,50.9,-22.4,104220
1.66,50.0,-56.6,105192
1.67,67.1,-29.9,104827
1.69,65.1,-13.0,105039
1.7,17.1,-38.8,100385
1.71,-65.5,-88.3,98750
1.73,61.3,-4.6,103888
1.74,71.8,-2.3,102271
1.76,-15.3,-23.3,106638
1.77,68.9,-0.6,105905
1.77,40.7,-41.8,104115
1.79,11.2,-34.1,100085
1.8,55.0,-71.1,105307
1.81,26.5,-56.9,106648
1.82,25.8,-42.9,83434
1.83,8.7,-38.3,102599
1.89,5.3,-45.0,102276
1.89,31.7,-45.0,95118
1.9,-47.9,-58.4,70070
1.95,79.0,-15.9,106112
1.96,78.1,-31.1,103020
1.96,52.6,-34.2,106627
1.97,51.8,-32.5,105818
1.98,40.9,-47.5,105467
1.99,40.2,-3.5,106619
2.02,-26.2,-37.6,99369
2.03,47.3,-54.2,106660
2.04,71.1,-23.5,103752
2.05,45.9,-29.3,106617
2.1,32.9,-47.1,103407
2.1,18.6,-51.9,102441
2.11,112.8,-1.4,106534
2.12,-53.3,-28.3,100830
2.13,63.8,-8.9,106123
2.15,29.8,-39.5,106361
2.17,60.8,-41.0,105434
2.2,81.4,-5.5,102167
2.22,-19.4,-54.5,104629
2.25,-11.6,-49.8,86712
2.26,1.3,-46.5,100192
2.32,93.5,-28.0,106616
2.32,20.3,-11.6,104046
2.36,69.1,1.3,103336
2.36,26.7,-12.3,104856
2.39,66.9,-4.2,105908
2.4,45.4,-1.7,105431
2.43,125.9,4.1,106258
2.47,41.3,-5.3,105442
2.48,20.6,-29.0,96514
2.5,-8.4,-58.4,80856
2.51,-40.6,-82.1,82016
2.51,19.1,-25.5,97050
2.51,118.7,-28.3,104245
2.52,10.7,-26.6,101864
2.52,38.5,2.4,87393
2.53,57.7,-39.1,99369
2.55,9.4,-14.1,100435
2.56,55.9,-25.0,106204
2.57,-30.4,-62.6,86412
2.57,-3.1,-53.7,99900
2.62,-24.0,-66.8,78667
2.63,-5.3,-13.3,102003
2.63,32.7,-1.1,104629
2.64,70.1,-15.2,106444
2.64,51.1,-21.2,103518
2.64,51.1,9.1,78505
2.67,12.0,-43.8,105470
2.68,67.5,-13.1,102610
2.69,48.3,-24.5,102462
2.7,3.3,-50.0,91275
2.72,138.6,-3.7,98305
2.77,26.0,-71.8,85504
2.78,-46.4,-44.6,67986
2.8,-0.4,-11.1,106272
2.87,21.6,-41.8,36956
2.87,-65.5,-87.5,81143
2.88,38.5,-47.6,101927
2.9,37.6,-10.7,102962
2.96,34.8,-37.5,103567
2.97,185.9,-12.8,105641
2.98,235.2,6.4,91696
3.02,48.7,-12.6,104183
3.04,-24.7,-37.8,89745
3.04,-18.1,-19.7,104235
3.06,30.4,-51.0,102724
3.06,-25.2,-63.4,102081
3.14,43.0,-42.0,98237
3.15,26.7,-6.0,103247
3.15,26.7,-17.8,104319
3.16,57.9,-19.3,95709
3.16,42.1,-1.3,106503
3.17,73.2,9.1,91696
3.17,89.0,4.7,106096
3.18,-43.7,-44.7,103407
3.21,71.0,-1.6,106391
3.21,133.3,-10.9,105216
3.21,55.5,-10.6,103247
3.25,22.8,-22.5,87888
3.25,22.8,0.0,105276
3.27,67.9,-10.1,97002
3.27,37.3,-21.4,104398
3.31,20.5,-7.6,106020
3.32,-9.9,-45.5,88338
3.33,49.8,-11.4,105475
3.34,49.4,-5.1,99014
3.37,18.4,-15.1,93803
3.39,-56.0,-80.8,44397
3.4,32.1,-40.0,95330
3.4,2.6,-43.5,76002
3.45,59.1,-2.0,106116
3.45,1.2,-48.7,86008
3.46,0.9,-39.9,96181
3.46,29.8,-37.3,78169
3.47,43.8,-4.3,104336
3.48,43.4,-30.2,98686
3.5,-14.6,-14.0,97917
3.54,55.1,-1.7,106546
3.55,96.9,-0.8,106172
3.55,12.4,2.3,97002
3.56,12.1,-41.6,98625
3.6,52.5,0.0,104971
3.61,52.1,-16.3,105766
3.65,77.8,-7.4,104929
3.65,50.4,13.7,95557
3.66,50.0,-15.6,103679
3.66,-18.3,-48.9,66651
3.7,88.9,-29.7,106646
3.72,87.9,4.8,104232
3.73,47.2,-5.4,106413
3.76,72.6,6.1,89314
3.78,84.9,-4.5,106094
3.8,-8.2,-12.9,100936
3.82,83.0,-3.4,96181
3.85,3.6,-33.5,81866
3.86,-22.5,-47.4,98405
3.87,-9.8,-20.7,104183
3.87,41.9,-23.0,91644
3.87,67.7,-19.6,101927
3.91,53.2,-1.5,104616
3.92,129.3,-9.9,106088
3.92,52.8,-4.8,103226
3.93,52.4,-4.8,105674
3.95,51.6,-40.8,103131
3.96,51.3,-36.6,88976
3.98,25.4,-22.4,97482
3.98,75.6,-2.3,105633
3.98,12.8,-10.6,104103
3.99,25.1,-16.3,105651
3.99,0.0,-12.0,105935
4.06,-31.3,-40.6,41755
4.11,21.4,-6.8,104712
4.11,9.2,-28.2,105351
4.13,8.7,-5.8,92408
4.16,7.9,12.5,104423
4.19,-16.7,-50.4,84958
4.31,4.2,-51.7,96181
4.39,13.7,-44.6,92666
4.4,58.9,-7.5,106257
4.41,24.5,-5.9,101778
4.44,12.4,-38.1,101262
4.45,68.3,-6.7,101231
4.48,44.9,-7.1,106528
4.58,41.7,4.4,99263
4.59,95.9,-5.0,105774
