Price,CardKingdom_pct,ManaPool_pct,Volume
50.92,8.0,-6.8,104444
52.15,34.2,-0.3,104423
52.51,33.3,-3.8,93458
52.87,32.4,5.8,86114
53.47,8.5,-10.3,95982
53.58,-82.3,-82.7,88587
54.4,28.7,-10.0,94571
55.26,44.8,2.8,96967
57.16,13.7,-5.1,74762
57.79,21.1,5.0,104531
60.08,-8.5,-19.7,82573
61.51,21.9,-11.5,80075
62.3,12.3,-5.1,94731
62.64,-47.3,-67.7,82573
63.0,-4.8,-15.7,89611
66.68,42.5,2.7,98334
67.34,33.6,-0.8,73931
69.89,7.3,-16.6,77998
73.74,-89.2,-92.3,50226
75.5,-7.3,-18.6,88097
75.78,25.3,7.2,101042
96.04,24.9,-18.7,100030
99.75,60.4,7.2,94238
106.14,3.6,-11.6,101249
115.52,-4.8,-18.8,86811
134.33,-56.8,-47.3,83800
163.39,22.4,2.0,82818
168.45,-67.4,-76.5,77661
247.48,1.0,-11.2,78990
260.45,34.4,20.0,89745
470.23,-90.9,-89.0,82170
