,tcgplayer,cardkingdom,manapool,name,set,nk
272569,,,,Skyclave Apparition,Game Day & Store Championship Promos,skyclaveapparition
282473,1.51,1.29,1.46,Spell Pierce,Game Day & Store Championship Promos,spellpierce
650730,6.29,,,Slickshot Show-Off,Game Day & Store Championship Promos,slickshotshowoff
57660,4.13,1.29,1.0,Strangleroot Geist,Game Day & Store Championship Promos,stranglerootgeist
450973,3.13,1.99,2.6,Touch the Spirit Realm,Game Day & Store Championship Promos,touchthespiritrealm
125843,1.28,2.29,0.91,Trophy Mage,Game Day & Store Championship Promos,trophymage
562099,,,,Urza's Saga,Game Day & Store Championship Promos,urzassaga
624063,,,,Virtue of Persistence,Game Day & Store Championship Promos,virtueofpersistence
248723,3.03,3.49,2.61,Abrupt Decay,The List Reprints,abruptdecay
240811,4.0,4.49,3.5700000000000003,Aether Vial,The List Reprints,aethervial
507535,3.16,3.99,3.2800000000000002,"Aminatou, the Fateshifter",The List Reprints,aminatouthefateshifter
581218,2.51,4.49,2.6,An Offer You Can't Refuse,The List Reprints,anofferyoucantrefuse
210402,,,,Amulet of Vigor,The List Reprints,amuletofvigor
248672,125.97,119.99,135.46,Ancient Tomb,The List Reprints,ancienttomb
222421,11.96,5.49,7.28,Angel's Grace,The List Reprints,angelsgrace
203588,6.16,7.49,5.53,Animate Dead,The List Reprints,animatedead
581221,0.39,1.29,0.15,Aqueous Form,The List Reprints,aqueousform
492613,2.02,1.79,0.75,Archmage Emeritus,The List Reprints,archmageemeritus
581282,7.66,9.49,6.57,Archivist of Oghma,The List Reprints,archivistofoghma
693603,7.37,,6.890000000000001,Arena of Glory,The List Reprints,arenaofglory
202872,18.83,20.99,15.16,Ashnod's Altar,The List Reprints,ashnodsaltar
202989,0.64,1.79,0.67,Avacyn's Pilgrim,The List Reprints,avacynspilgrim
581255,0.62,0.79,0.47000000000000003,Aven Mindcensor,The List Reprints,avenmindcensor
582920,0.07,0.39,0.15,Axgard Cavalry,The List Reprints,axgardcavalry
533123,3.74,2.99,2.74,Baleful Mastery,The List Reprints,balefulmastery
275127,1.17,2.99,0.37,Barbarian Ring,The List Reprints,barbarianring
222434,4.72,4.99,4.01,Beseech the Queen,The List Reprints,beseechthequeen
203010,12.9,15.99,11.78,Birds of Paradise,The List Reprints,birdsofparadise
633079,19.08,20.99,20.81,Black Market Connections,The List Reprints,blackmarketconnections
496236,6.0,8.99,6.24,Blightstep Pathway,The List Reprints,blightsteppathway
254546,19.91,13.99,15.1,Blood Crypt,The List Reprints,bloodcrypt
254547,8.08,9.49,7.8100000000000005,Blood Moon,The List Reprints,bloodmoon
254548,0.9,2.99,0.62,Blood Pet,The List Reprints,bloodpet
254551,21.2,23.99,20.31,Bloodchief Ascension,The List Reprints,bloodchiefascension
222437,8.06,4.49,7.9,Bloodghast,The List Reprints,bloodghast
203020,12.86,16.99,13.31,Bloom Tender,The List Reprints,bloomtender
203681,2.0,3.49,1.41,Blue Elemental Blast,The List Reprints,blueelementalblast
