productId,name,set,key
583098,Bolt Bend,The List Reprints,bolt bend
222449,Brain Freeze,The List Reprints,brain freeze
582602,Buried Alive,The List Reprints,buried alive
275323,Buried Ruin,The List Reprints,buried ruin
203038,Carpet of Flowers,The List Reprints,carpet of flowers
203614,Carrion Feeder,The List Reprints,carrion feeder
513169,Castle Garenbrig,The List Reprints,castle garenbrig
229291,Cavern of Souls,The List Reprints,cavern of souls
284314,Chain of Smog,The List Reprints,chain of smog
202899,Chromatic Star,The List Reprints,chromatic star
581235,Clever Impersonator,The List Reprints,clever impersonator
513177,Clock of Omens,The List Reprints,clock of omens
454130,Collector Ouphe,The List Reprints,collector ouphe
222470,Command Beacon,The List Reprints,command beacon
498570,Commandeer,The List Reprints,commandeer
284318,Contamination,The List Reprints,contamination
513179,Counterbalance,The List Reprints,counterbalance
203064,Crop Rotation,The List Reprints,crop rotation
583215,Crystal Vein,The List Reprints,crystal vein
204483,Curse of Opulence,The List Reprints,curse of opulence
582638,Dauthi Voidwalker,The List Reprints,dauthi voidwalker
203724,Daze,The List Reprints,daze
526535,Deep Gnome Terramancer,The List Reprints,deep gnome terramancer
582654,Dimir House Guard,The List Reprints,dimir house guard
203653,Dismember,The List Reprints,dismember
203935,Dispel,The List Reprints,dispel
284325,Doomsday,The List Reprints,doomsday
275139,Dragon's Rage Channeler,The List Reprints,dragons rage channeler
222509,Drift of Phantasms,The List Reprints,drift of phantasms
222404,Dryad Arbor,The List Reprints,dryad arbor
498590,Dwarven Grunt,The List Reprints,dwarven grunt
498589,Dwarven Bloodboiler,The List Reprints,dwarven bloodboiler
210375,Eidolon of Rhetoric,The List Reprints,eidolon of rhetoric
203250,Eldritch Evolution,The List Reprints,eldritch evolution
203257,Elves of Deep Shadow,The List Reprints,elves of deep shadow
222356,Enlightened Tutor,The List Reprints,enlightened tutor
202931,Ephemerate,The List Reprints,ephemerate
526542,Esper Sentinel,The List Reprints,esper sentinel
243612,Expedition Map,The List Reprints,expedition map
631650,Fabled Passage,The List Reprints,fabled passage
600042,Faeburrow Elder,The List Reprints,faeburrow elder
581292,Faerie Seer,The List Reprints,faerie seer
204237,Fatal Push,The List Reprints,fatal push
203084,Felidar Guardian,The List Reprints,felidar guardian
507552,Flusterstorm,The List Reprints,flusterstorm
222141,Food Chain,The List Reprints,food chain
600074,Forbidden Orchard,The List Reprints,forbidden orchard
454153,Force of Vigor,The List Reprints,force of vigor
582964,Fyndhorn Elves,The List Reprints,fyndhorn elves
204544,Galvanic Blast,The List Reprints,galvanic blast
283823,Gamble,The List Reprints,gamble
243625,Gemstone Caverns,The List Reprints,gemstone caverns
480153,Gitaxian Probe,The List Reprints,gitaxian probe
229301,Giver of Runes,The List Reprints,giver of runes
275344,Goblin Engineer,The List Reprints,goblin engineer
