band,ck_pct,mp_pct,n_cards
$0.5,63.0,-46.0,282
$1,46.0,-53.0,77
$2,34.0,-29.0,124
$5,37.0,-11.0,157
$10,29.0,-8.0,107
$20,17.0,-5.0,83
$50,21.0,-4.0,59
$100,-1.0,-19.0,8
$200,12.0,-5.0,4
$500,-91.0,-89.0,1
