productId,name,set,tcgplayer,cardkingdom,manapool,ck_pct,mp_pct,source,band
162125,Mox Amber,Dominaria,76.24,109.99,79.42,44.26810073452256,4.1710388247639125,top-5000 GMV,$50-100
632052,Stay with Me - Rhystic Study (Showcase),FINAL FANTASY: Through the Ages,106.12,139.99,108.35,31.916698077647947,2.1013946475687804,top-5000 GMV,$100-200
5457,Ancient Tomb,Tempest,122.88,159.99,111.37,30.20019531250001,-9.36686197916666,top-5000 GMV,$100-200
671032,Hexing Squelcher (Showcase),Lorwyn Eclipsed,27.03,37.99,26.31,40.54753977062524,-2.663706992230864,top-5000 GMV,$20-50
7030,Serra's Sanctum,Urza's Saga,500.6,599.99,356.57,19.854174990011984,-28.77147423092289,top-5000 GMV,$200+
632705,Buster Sword (Borderless),FINAL FANTASY,88.8,109.99,100.41,23.86261261261261,13.074324324324325,top-5000 GMV,$50-100
644286,Icetill Explorer,Edge of Eternities,14.78,21.99,14.77,48.78213802435724,-0.0676589986468186,top-5000 GMV,$10-20
5615,Lotus Petal,Tempest,33.86,44.99,28.04,32.87064382752511,-17.188422917897224,top-5000 GMV,$20-50
618887,Dragon of Mount Gulg - Ancient Copper Dragon (Showcase),FINAL FANTASY: Through the Ages,99.13,139.99,103.15,41.218601835972976,4.055280944214678,top-5000 GMV,$50-100
697204,"Loki, Lord of Misrule",Commander: Marvel Super Heroes,58.64,79.99,58.86,36.40859481582536,0.3751705320600254,top-5000 GMV,$50-100
5529,Earthcraft,Tempest,279.86,349.99,197.98,25.0589580504538,-29.25748588580005,top-5000 GMV,$200+
552863,Ocelot Pride,Modern Horizons 3,41.39,54.99,40.79,32.85817830393815,-1.4496255134090394,top-5000 GMV,$20-50
1339,Badlands,Revised Edition,538.86,599.99,343.84000000000003,11.344319489292207,-36.19121849831125,top-5000 GMV,$200+
238619,Urza's Saga,Modern Horizons 2,43.11,54.99,37.45,27.55741127348644,-13.12920436093713,top-5000 GMV,$20-50
688521,Flashback,Secrets of Strixhaven,3.84,6.49,2.56,69.01041666666667,-33.33333333333333,top-5000 GMV,$2-5
696349,The Ten Rings,Marvel Super Heroes,17.4,24.99,17.71,43.62068965517242,1.781609195402312,top-5000 GMV,$10-20
518155,"Sauron, the Dark Lord (Borderless Poster)",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,508.42,749.99,625.2,47.51386648833641,22.96919869399316,top-5000 GMV,$200+
688679,Flow State,Secrets of Strixhaven,1.81,3.49,0.62,92.81767955801104,-65.74585635359117,top-5000 GMV,$1-2
5593,Intuition,Tempest,356.55,449.99,338.65000000000003,26.206703127191133,-5.020333754031686,top-5000 GMV,$200+
689345,Cyclonic Rift,Secrets of Strixhaven: Mystical Archive,33.97,39.99,31.33,17.721518987341785,-7.771563143950547,top-5000 GMV,$20-50
686601,Emeritus of Ideation,Secrets of Strixhaven,5.25,7.99,4.62,52.1904761904762,-11.999999999999998,top-5000 GMV,$5-10
686575,Improvisation Capstone,Secrets of Strixhaven,10.47,16.99,9.37,62.27316141356254,-10.506208213944616,top-5000 GMV,$10-20
541274,Polluted Delta,Modern Horizons 3,19.77,27.99,18.97,41.578148710166914,-4.0465351542741566,top-5000 GMV,$10-20
660571,Badgermole Cub (Borderless),Avatar: The Last Airbender,68.42,89.99,69.5,31.52586962876351,1.5784858228588106,top-5000 GMV,$50-100
130149,Anointed Procession,Amonkhet,58.24,69.99,51.52,20.17513736263735,-11.538461538461537,top-5000 GMV,$50-100
697268,Ultron the Annihilator,Commander: Marvel Super Heroes,47.06,54.99,45.2,16.850828729281766,-3.952401189970249,top-5000 GMV,$20-50
238610,Scalding Tarn,Modern Horizons 2,38.39,42.99,39.66,11.982287053920295,3.3081531648866798,top-5000 GMV,$20-50
