card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId
Mountain (0270),1.16,1.29,0.36,11.20689655172415,-68.9655172413793,6904.0,live,1.10424,-4.806896551724122,$1-2,,686590.0
The Mind Stone,57.53,79.99,62.52,39.040500608378224,8.673735442377893,2492.0,live,68.47144,19.01866852077177,$50-100,62.51,693022.0
Germination Practicum,10.26,9.99,8.33,-2.631578947368417,-18.81091617933723,2502.0,live,8.55144,-16.65263157894737,$10-20,8.5,689106.0
Plains (0267),1.22,1.79,0.6,46.72131147540984,-50.81967213114754,6778.0,live,1.53224,25.593442622950825,$1-2,,686586.0
Requisition Raid,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,3359.0,live,0.2996,-3.354838709677426,$0-1,0.26,688926.0
Island (0268),1.06,1.49,0.48,40.56603773584905,-54.71698113207547,6735.0,live,1.27544,20.324528301886776,$1-2,,686587.0
Forest (0271),0.82,1.79,0.37,118.29268292682929,-54.8780487804878,6556.0,live,1.53224,86.85853658536587,$0-1,,686591.0
Disciple of Freyalise,2.57,4.49,1.64,74.7081712062257,-36.18677042801556,3015.0,live,3.84344,49.5501945525292,$2-5,,552466.0
Genji Glove,11.36,11.99,5.9,5.545774647887331,-48.06338028169014,2421.0,live,10.26344,-9.652816901408451,$10-20,,634431.0
Improvisation Capstone,10.47,16.99,9.37,62.27316141356254,-10.506208213944616,2404.0,live,14.54344,38.905826170009526,$10-20,10.2,686575.0
"Shuri, Wakandan Inventor",0.39,0.69,0.15,76.9230769230769,-61.53846153846154,5051.0,live,0.5906399999999999,51.44615384615384,$0-1,0.35,696278.0
Bulk Up,0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,3106.0,live,0.2996,-19.02702702702703,$0-1,0.25,688858.0
Bitter Triumph,0.28,0.35,0.15,24.999999999999982,-46.42857142857144,3343.0,live,0.2996,6.999999999999981,$0-1,0.42,688855.0
"Loki, God of Mischief",2.59,5.99,2.17,131.2741312741313,-16.216216216216214,4095.0,live,5.12744,97.9706563706564,$2-5,,696274.0
Hare Apparent,2.32,3.49,0.91,50.43103448275864,-60.77586206896552,8091.0,live,2.9874400000000003,28.7689655172414,$2-5,2.07,591214.0
"Prismari, the Inspiration",4.07,4.99,3.12,22.6044226044226,-23.34152334152334,2276.0,live,4.27144,4.949385749385745,$2-5,,686599.0
Studious First-Year,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,4480.0,live,0.2996,-3.354838709677426,$0-1,,686582.0
Mirkwood Bats,1.34,1.49,1.05,11.19402985074626,-21.64179104477612,2781.0,live,1.27544,-4.817910447761207,$1-2,1.4,498352.0
Decorum Dissertation,6.97,8.49,5.21,21.80774748923961,-25.251076040172165,2268.0,live,7.26744,4.267431850789095,$5-10,6.55,688950.0
Accursed Marauder,0.37,0.39,0.15,5.405405405405411,-59.45945945945946,2829.0,live,0.33384,-9.772972972972966,$0-1,0.27,553204.0
"Captain America, Living Legend",0.3,0.35,0.15,16.666666666666664,-50.0,3147.0,live,0.2996,-0.1333333333333371,$0-1,0.2,696319.0
Restoration Seminar,3.33,4.49,3.12,34.83483483483484,-6.306306306306306,2297.0,live,3.84344,15.418618618618622,$2-5,3.46,688656.0
"Witherbloom, the Balancer",4.08,5.49,3.11,34.55882352941177,-23.77450980392157,2192.0,live,4.69944,15.182352941176468,$2-5,3.9,686613.0
The Serpent Society,0.7,1.29,0.15,84.28571428571429,-78.57142857142857,3348.0,live,1.10424,57.74857142857145,$0-1,0.49,696652.0
The Scarlet Witch,0.6,0.99,0.15,65.0,-75.0,2758.0,live,0.84744,41.24,$0-1,0.49,696298.0
Dark Fortress,2.56,3.99,2.54,55.859375,-0.7812500000000007,3487.0,live,3.4154400000000003,33.415625000000006,$2-5,3.5,696352.0
Exsanguinate,0.38,0.79,0.15,107.89473684210526,-60.526315789473685,2639.0,live,0.6762400000000001,77.95789473684212,$0-1,0.41,591153.0
Hexing Squelcher,20.98,29.99,18.39,42.94566253574832,-12.34509056244042,2249.0,live,25.67144,22.361487130600555,$20-50,20.18,671005.0
An Offer You Can't Refuse,3.01,4.99,2.34,65.78073089700999,-22.259136212624583,2327.0,live,4.27144,41.90830564784054,$2-5,2.52,590828.0
The Vision,0.72,1.29,0.26,79.16666666666667,-63.888888888888886,2965.0,live,1.10424,53.36666666666668,$0-1,0.68,693025.0
Duty Beyond Death,0.27,0.35,0.15,29.62962962962961,-44.44444444444445,2739.0,live,0.2996,10.962962962962948,$0-1,0.15,686551.0
World War Hulk,0.96,2.49,0.76,159.37500000000003,-20.83333333333333,3290.0,live,2.13144,122.025,$0-1,1.12,668475.0
Dreamroot Cascade,0.85,1.79,0.51,110.58823529411764,-40.0,2644.0,live,1.53224,80.26352941176471,$0-1,0.95,686573.0
Buried Alive,1.01,2.29,0.51,126.73267326732672,-49.50495049504951,2525.0,live,1.96024,94.08316831683167,$1-2,0.84,552813.0
Arc Reactor,1.04,1.99,0.39,91.34615384615384,-62.5,3480.0,live,1.70344,63.792307692307695,$1-2,0.78,696348.0
"Mjolnir, Hammer of Thor",22.12,32.99,23.39,49.14104882459313,5.741410488245929,2168.0,live,28.23944,27.66473779385172,$20-50,,696296.0
"Mister Fantastic, Reed Richards (Borderless)",0.58,0.59,0.15,1.7241379310344844,-74.13793103448275,3191.0,live,0.5050399999999999,-12.924137931034489,$0-1,,696282.0
Mathemagics,2.91,3.49,2.85,19.93127147766323,-2.0618556701030943,2219.0,live,2.9874400000000003,2.661168384879731,$2-5,3.07,675586.0
Pensive Professor,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,2736.0,live,0.41944,-2.4558139534883754,$0-1,0.51,686605.0
Gleaming Bastion,1.98,4.99,1.55,152.02020202020202,-21.71717171717172,3468.0,live,4.27144,115.72929292929297,$1-2,2.75,696354.0
Emeritus of Abundance,2.51,2.99,1.56,19.12350597609564,-37.848605577689234,2195.0,live,2.55944,1.969721115537855,$2-5,,688681.0
Urza's Cave,1.12,1.99,0.51,77.6785714285714,-54.46428571428572,2726.0,live,1.70344,52.09285714285713,$1-2,1.0,548592.0
Echocasting Symposium,3.71,4.49,2.54,21.024258760107823,-31.536388140161726,2144.0,live,3.84344,3.5967654986522968,$2-5,,688689.0
Hawkeye's Bow,0.25,0.35,0.15,39.99999999999999,-40.0,6052.0,live,0.2996,19.83999999999999,$0-1,0.16,697023.0
Hidden Lair,2.66,6.49,2.08,143.98496240601503,-21.80451127819549,3431.0,live,5.55544,108.85112781954886,$2-5,3.51,696355.0
