rank,productId,name,set,category,units,transactions,gmv_sale,avg_price
869,641796,Ouroboroid (Extended Art),Edge of Eternities,Mythic,168,154,8860.98,52.74392857142857
870,9439,Tainted Pact,Odyssey,Rare,142,142,8851.08,62.33154929577465
871,618881,"Tidus, Yuna's Guardian (Borderless)",Commander: FINAL FANTASY,Mythic,222,221,8842.18,39.82963963963964
872,656729,"Cloud, Midgar Mercenary",Unique and Miscellaneous Promos,Promo,209,180,8839.66,42.29502392344497
873,267052,Ancient Brass Dragon,Commander Legends: Battle for Baldur's Gate,Mythic,202,199,8836.47,43.744900990099005
874,524419,Bloodletter of Aclazotz (Borderless),The Lost Caverns of Ixalan,Mythic,256,252,8833.01,34.5039453125
875,623990,Arid Mesa (Borderless) (Dragonscale Foil),Special Guests,Mythic,26,26,8832.77,339.7219230769231
876,449626,Force of Will (Borderless),Dominaria Remastered,Mythic,122,115,8831.35,72.38811475409837
877,279241,Mystic Remora (Borderless),Secret Lair Drop Series,Rare,117,117,8828.33,75.45581196581196
878,11418,Krark-Clan Shaman,Mirrodin,Common,1258,569,8824.1,7.014387917329094
879,535882,Jeska's Will,Commander: Murders at Karlov Manor,Rare,215,213,8815.45,41.00209302325582
880,513893,Primal Vigor,Wilds of Eldraine: Enchanting Tales,Rare,748,720,8814.14,11.783609625668449
881,452124,Diabolic Intent,The Brothers' War,Rare,523,492,8806.29,16.838030592734228
882,583907,"Miku, Divine Diva - Elspeth Tirel",Secret Lair Drop Series,Mythic,194,133,8795.32,45.336701030927834
883,687584,Three Visits,Commander: Secrets of Strixhaven,Uncommon,1612,1305,8779.92,5.446600496277916
884,239195,Tiamat,Adventures in the Forgotten Realms,Mythic,347,306,8757.48,25.237694524495677
885,646045,"Venom, Eddie Brock",Marvel's Spider-Man: Eternal-Legal,Mythic,662,613,8750.77,13.21868580060423
886,687375,Animate Dead,Commander: Secrets of Strixhaven,Uncommon,1821,1366,8734.47,4.796523887973641
887,541295,Flooded Strand (Borderless),Modern Horizons 3,Rare,209,188,8713.78,41.692727272727275
888,71042,"Purphoros, God of the Forge",Theros,Mythic,308,297,8712.37,28.28691558441559
889,696328,"Thanos, the Mad Titan",Marvel Super Heroes,Mythic,1681,1424,8712.32,5.182819750148721
